,,,,Stay,,,,,,Leave,,,,,,Experts,,,,,,,,
,,,"Yes, because European Court of Justice can overrule UK laws.",NA,,NA,,NA,,Yes (20),,No mention (0),,Yes (20),,,,,,,,,,
,,,Neutral / Not Sure,NA,,NA,,NA,,NA,,NA,,,,,,,,,,,,
,,,"No, because the UK has a strong voice in the decision-making processes in the EU and can defend its national interests.",Implied (20),,Implied (10),,Yes (20),,NA,,NA,,,,,,,,,,,,
,,,"No, because the European Court of Justice enforces laws and decisions in other EU countries, benefiting the UK.",Implied (10),,Yes (20),,Implied (10),,NA,,NA,,,,,,,,,,,,
,,,No,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,,,,,,,,
14,"EU funding, laws and regulations make valuable contributions to preventing man-made climate change.",Climate change,Yes,Yes (10),,Yes (10),,Yes (10),,NA,,NA,,,,,No mention,,No mention,,,"""It could be argued that emissions would have fallen anyway without the intervention of the EU. Many of the cuts have been made possible by technology change and there is a UN Convention on Long-Range Transboundary Air Pollution (CLRTAP) which covers EU and non-EU states. But it's the EU that has set the legal framework for the UK's emission targets, and the EU also sets environmental standards for goods which have been used to drive emissions down.""

http://www.bbc.com/news/live/uk-politics-eu-referendum-35603388","""The suggestion is that Britain will “get back"" all these things supposedly banned by EU regulations “if we vote out"". But a vote to leave the EU will not necessarily mean the end of Britain applying such regulations. No one knows what kind of relationship the UK will negotiate with the EU after Brexit. But if we wanted to pull out of the union but stay in the European Economic Area, like Iceland, Liechtenstein and Norway, we would almost certainly still be bound by many EU regulations, as part of the price of continued access to the Single Market.""

http://blogs.channel4.com/factcheck/factcheck-express-bananas-eu/23034","""The risks of withdrawing from the EU are significant for nature...Judging by the UK government's responses to a range of environmental proposals from the European Commission in recent years, it seems more likely that the current government and possibly its successors would opt for a ""less ambitious approach than that adopted by the EU.""

(Institute for European Environmental Policy)

http://www.ieep.eu/assets/2000/IEEP_Brexit_2016.pdf
"
,,,"Yes, the UK must combat climate change through international cooperation.",Yes (20),,Yes (20),,Yes (20),,NA,,NA,,,,,,,,,No mention,,,"""Not everything that comes from Europe has been good for the natural world, but on balance membership of the EU has delivered benefits for our environment that would be hard to replicate in the event of the UK leaving."" 

(Trevor Hutchings, Director of Advocacy, WWF-UK)

http://www.bbc.com/news/science-environment-35758427"
,,,Neutral / Not Sure,NA,,,,NA,,NA,,NA,,,,,,,,,,,,"""The UK's membership of the EU has been a crucial factor in the shaping of its environmental policy since it joined the Union in the 1970s. The overwhelming view of our witnesses was that EU membership has been positive for the UK environment. None of the witnesses to our inquiry, even those who made criticisms, made an environmental case for leaving the European Union."" 

(Environmental Audit Committee)

http://www.publications.parliament.uk/pa/cm201516/cmselect/cmenvaud/537/53703.htm"
,,,"No, because man-made climate change does not exist.",NA,,,,NA,,No mention (0),,No mention (0),,No mention (0),,,,,,,,,,
,,,"No, they just inhibit the UK economy and provide unnecessary red tape.",NA,,,,NA,,Implied (15),,No mention (0),,No mention (0),,,,,,,,,,
,,,"No, because the solution largely depends on the major polluters - the US and China.",NA,,,,NA,,No mention (0),,Yes (20),,No mention (0),,,,,,,,,,
,,,No,NA,,,,NA,,Yes (10),,Yes (10),,No mention (0),,,,,,,,,,
